Город;Площадь территории1),  тыс. км2;Численность   населения  на 1 января  2023 г., тыс. человек;Среднегодовая численность занятых2),  тыс. человек;Средне- душевые денежные доходы  (в месяц), руб.;Потреби- тельские расходы в среднем  на душу населения  (в месяц), руб. ;Среднемесячная  номинальная начисленная  заработная плата работников организаций, руб.      ;Валовой  региональ- ный  продукт  в 2021 г. , млрд руб.;Инвестиции  в основной  капитал3),  млрд руб.;"Основные  фонды  в экономике  (по полной учетной стоимости;  на конец года)4), млрд руб.";Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности,  млрд руб.;;;;Продукция  сельского  хозяйства -  всего, млрд руб.;в том числе;;Ввод  в действие  жилых домов, тыс. м2  общей  площади  жилых  помещений;Оборот  розничной  торговли,  млрд руб.           ;Сальдированный финансовый результат (прибыль минус убыток) деятельности организаций5),  млрд руб.
Астраханская область;49,0;950,6;472,9;31 119,0;26 164,0;47 780,0;657,0;86,1;2 345,0;465,5;98,3;36,9;7,4;64,9;38,9;26,0;590,8;208,5;218,2
Волгоградская область;112,9;2 470,1;1 129,8;31 309,0;26 225,0;44 242,0;1 051,0;216,5;4 377,0;45,9;760,2;77,0;21,4;247,3;188,7;58,6;798,5;538,7;85,2
Ростовская область;101,0;4 164,5;2 017,2;40 016,0;34 963,0;44 767,0;2 017,0;465,5;7 659,0;52,7;1 262,3;197,1;39,5;451,1;338,0;113,1;2 703,7;1 308,6;126,1
г. Севастополь;0,9;558,3;233,0;35 164,0;30 093,0;43 112,0;169,0;72,2;1 017,0;…7);24,5;12,0;…7);3,7;3,3;0,4;556,9;97,5;1,5
Северо-Кавказский  федеральный округ;170,4;10 205,7;4 044,1;29 567,0;24 966,0;37 361,0;2 695,0;878,2;8 179,0;44,9;663,2;182,2;29,9;705,9;411,8;294,1;5 970,3;2 125,5;100,7
Республика Дагестан;50,3;3 209,8;1 153,0;33 343,0;29 242,0;35 082,0;814,0;314,2;1 740,0;3,9;53,7;18,2;2,7;188,3;93,0;95,3;1 005,3;772,1;-9,1
Республика Ингушетия;3,1;519,1;199,8;20 781,0;11 361,0;32 801,0;77,0;22,9;263,0;2,0;7,5;0,6;0,7;20,1;8,3;11,8;134,9;36,9;-3,2
Кабардино-Балкарская  Республика;12,5;903,3;377,5;30 173,0;27 903,0;35 251,0;199,0;57,8;605,0;0,5;45,4;12,4;1,9;84,4;50,3;34,1;522,6;245,0;-8,0
Карачаево-Черкесская  Республика;14,3;468,4;179,0;22 258,0;14 643,0;35 463,0;109,0;34,0;468,0;3,3;33,8;11,4;1,8;40,7;18,4;22,3;309,0;47,2;2,2
Республика Северная  Осетия - Алания;8,0;680,7;266,7;29 235,0;23 959,0;36 360,0;203,0;43,3;441,0;2,3;30,9;16,6;2,7;43,1;17,4;25,7;341,8;149,2;-2,0
